"filename","speaker","size_bytes","size_mb","package_zip","package_path"
"F00001_SPK03.wav","SPK03","494054","0.4712","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00002_SPK03.wav","SPK03","285992","0.2727","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00003_SPK03.wav","SPK03","427022","0.4072","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00004_SPK03.wav","SPK03","285992","0.2727","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00005_SPK03.wav","SPK03","281384","0.2683","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00006_SPK03.wav","SPK03","295208","0.2815","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00007_SPK03.wav","SPK03","304424","0.2903","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00008_SPK03.wav","SPK03","239912","0.2288","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00009_SPK03.wav","SPK03","341288","0.3255","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00010_SPK03.wav","SPK03","272168","0.2596","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00011_SPK03.wav","SPK03","355112","0.3387","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00012_SPK03.wav","SPK03","378152","0.3606","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00013_SPK03.wav","SPK03","304424","0.2903","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00014_SPK03.wav","SPK03","401192","0.3826","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00015_SPK03.wav","SPK03","423494","0.4039","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00016_SPK03.wav","SPK03","272168","0.2596","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00017_SPK03.wav","SPK03","304424","0.2903","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00018_SPK03.wav","SPK03","253736","0.242","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00019_SPK03.wav","SPK03","522278","0.4981","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00020_SPK03.wav","SPK03","355112","0.3387","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00021_SPK03.wav","SPK03","307706","0.2935","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00022_SPK03.wav","SPK03","364328","0.3475","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00023_SPK03.wav","SPK03","327464","0.3123","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00024_SPK03.wav","SPK03","290600","0.2771","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00025_SPK03.wav","SPK03","364328","0.3475","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00026_SPK03.wav","SPK03","281384","0.2683","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00027_SPK01.wav","SPK01","317656","0.3029","cantharm_audio_spk01.zip","downloads/packages/cantharm_audio_spk01.zip"
"F00028_SPK03.wav","SPK03","319418","0.3046","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00029_SPK03.wav","SPK03","327464","0.3123","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00030_SPK03.wav","SPK03","318248","0.3035","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00031_SPK03.wav","SPK03","309032","0.2947","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00032_SPK03.wav","SPK03","364328","0.3475","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00033_SPK03.wav","SPK03","327464","0.3123","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00034_SPK03.wav","SPK03","272168","0.2596","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00035_SPK03.wav","SPK03","372338","0.3551","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00036_SPK03.wav","SPK03","483470","0.4611","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00037_SPK03.wav","SPK03","313640","0.2991","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00038_SPK03.wav","SPK03","327464","0.3123","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00039_SPK03.wav","SPK03","433448","0.4134","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
"F00040_SPK03.wav","SPK03","359720","0.3431","cantharm_audio_spk03.zip","downloads/packages/cantharm_audio_spk03.zip"
